address1,address2,easting,northing,order_cost,ordered_date,result,speedLimit,urban_rural,length,PRIORITY,TARGET_DAYS_TO_REPAIR,MergedName,ydependent,UrbanRural,Date,temp,precip
ACCOMMODATION ROAD,BURMANTOFTS,431425.15,434085.95,71.11,19/10/2023 00:00,FAIL,30,Urban,126,CAT2 carriageway,7,ACCOMMODATION ROADBURMANTOFTS,0,1,19-Oct-2023,13.1,19.942
ACKROYD STREET,MORLEY,426938.72,428008.78,64.06,08/03/2022 00:00,FAIL,30,Urban,270,CAT2 carriageway,7,ACKROYD STREETMORLEY,0,1,08-Mar-2022,3.7,0
ACORN DRIVE,WHINMOOR,436189.74,437831.62,64.06,11/01/2021 00:00,FAIL,30,Urban,93,CAT3 carriageway,28,ACORN DRIVEWHINMOOR,0,1,11-Jan-2021,5.8,2.747
ACORN WAY,POOL IN WHARFEDALE,424923.75,444847.91,64.06,05/04/2022 00:00,PASS,30,Urban,8,CAT1 carriageway,1,ACORN WAYPOOL IN WHARFEDALE,1,1,05-Apr-2022,8.8,1.809
ACRE ROAD,MIDDLETON,429929.17,427595.88,64.06,10/02/2021 00:00,PASS,20,Urban,329,CAT3 carriageway,28,ACRE ROADMIDDLETON,1,1,10-Feb-2021,-2.7,0.07
ACRES HALL AVENUE,PUDSEY,423028.11,432945.9,71.11,29/01/2024 00:00,PASS,20,Urban,206,CAT3 carriageway,28,ACRES HALL AVENUEPUDSEY,1,1,29-Jan-2024,6.7,25.099
ACRES HALL CRESCENT,PUDSEY,423163.52,432742.11,64.06,30/11/2021 00:00,FAIL,20,Urban,247,CAT2 carriageway,7,ACRES HALL CRESCENTPUDSEY,0,1,30-Nov-2021,8.9,2.361
ADDINGHAM GARDENS,ARMLEY,426462.1,433181.91,64.06,01/10/2019 00:00,PASS,30,Urban,98,28 day footway,28,ADDINGHAM GARDENSARMLEY,1,1,01-Oct-2019,8.9,26.453
ADEL GARTH,ADEL,0,0,71.11,26/07/2023 00:00,FAIL,30,Urban,47,CAT1 carriageway,1,ADEL GARTHADEL,0,1,26-Jul-2023,14.6,3.304
ADEL GRANGE CLOSE,ADEL,0,0,64.06,14/06/2019 00:00,PASS,30,Urban,133,28 day footway,28,ADEL GRANGE CLOSEADEL,1,1,14-Jun-2019,11,3.735
ADEL GREEN,ADEL,427845.07,439959.14,64.06,07/06/2022 00:00,PASS,30,Urban,42,CAT2 carriageway,7,ADEL GREENADEL,1,1,07-Jun-2022,12.9,0.09
ADEL LANE,ADEL,427048.28,439799.67,71.11,07/02/2024 00:00,PASS,30,Urban,310,CAT3 carriageway,28,ADEL LANEADEL,1,1,07-Feb-2024,1.9,0.078
ADEL MEAD,ADEL,0,0,71.11,27/01/2023 00:00,PASS,30,Urban,51,CAT2 carriageway,7,ADEL MEADADEL,1,1,27-Jan-2023,3.3,0.598
ADEL PARK CLOSE,ADEL,427301,439151,71.11,10/01/2024 00:00,PASS,30,Urban,57,CAT2 carriageway,7,ADEL PARK CLOSEADEL,1,1,10-Jan-2024,2.7,3.182
ADEL PARK CROFT,ADEL,0,0,64.06,28/08/2020 00:00,PASS,30,Urban,62,28 day footway,28,ADEL PARK CROFTADEL,1,1,28-Aug-2020,10.9,18.949
ADEL PARK GARDENS,ADEL,427306.33,439045.72,71.11,15/02/2024 00:00,PASS,30,Urban,172,CAT2 carriageway,7,ADEL PARK GARDENSADEL,1,1,15-Feb-2024,12.1,4.184
ADEL PASTURE,ADEL,427398.5,439131.65,71.11,05/01/2024 00:00,PASS,30,Urban,225,CAT2 carriageway,7,ADEL PASTUREADEL,1,1,05-Jan-2024,4.5,0.762
ADEL TOWERS COURT,ADEL,427756.84,439139.76,71.11,19/02/2024 00:00,PASS,30,Urban,224,CAT3 carriageway,28,ADEL TOWERS COURTADEL,1,1,19-Feb-2024,8.2,0.628
ADEL WOOD CLOSE,ADEL,0,0,64.06,09/09/2020 00:00,PASS,30,Urban,44,CAT3 carriageway,28,ADEL WOOD CLOSEADEL,1,1,09-Sep-2020,14.5,0.444
ADEL WOOD ROAD,ADEL,427866.35,439363.15,64.06,13/05/2021 00:00,PASS,30,Urban,109,CAT3 carriageway,28,ADEL WOOD ROADADEL,1,1,13-May-2021,9.3,1.437
AINSTY CRESCENT,WETHERBY,440145.98,449440.77,71.11,01/12/2023 00:00,PASS,30,Urban,51,CAT3 carriageway,28,AINSTY CRESCENTWETHERBY,1,1,01-Dec-2023,-1.5,0.06
AINSTY DRIVE,WETHERBY,440274.66,449402.51,71.11,30/11/2023 00:00,PASS,30,Urban,162,CAT3 carriageway,28,AINSTY DRIVEWETHERBY,1,1,30-Nov-2023,-0.7,0.171
AINSTY GARTH,WETHERBY,440301.34,449217.37,71.11,01/12/2023 00:00,PASS,30,Urban,98,CAT3 carriageway,28,AINSTY GARTHWETHERBY,1,1,01-Dec-2023,-1.5,0.06
AINSTY ROAD,WETHERBY,440360.22,449255.8,71.11,20/02/2024 00:00,PASS,30,Urban,286,CAT2 carriageway,7,AINSTY ROADWETHERBY,1,1,20-Feb-2024,8.3,2.28
AINSTY VIEW,WETHERBY,440365.4,449267.6,71.11,30/11/2023 00:00,PASS,30,Urban,196,CAT3 carriageway,28,AINSTY VIEWWETHERBY,1,1,30-Nov-2023,-0.7,0.171
AIRE GROVE,YEADON,0,0,71.11,03/10/2023 00:00,PASS,20,Urban,86,CAT2 carriageway,7,AIRE GROVEYEADON,1,1,03-Oct-2023,11.3,4.202
AIRE ROAD,WETHERBY,440206.38,449664.93,71.11,13/12/2023 00:00,PASS,30,Urban,252,CAT2 carriageway,7,AIRE ROADWETHERBY,1,1,13-Dec-2023,3.9,0.465
AIRE STREET,LEEDS,429703.64,433365.38,71.11,03/01/2024 00:00,PASS,30,Urban,33,CAT2 carriageway,7,AIRE STREETLEEDS,1,1,03-Jan-2024,6.2,1.498
AIRE VALLEY DRIVE,CROSS GREEN,434337,431566,64.06,09/08/2022 00:00,PASS,30,Urban,298,CAT3 carriageway,28,AIRE VALLEY DRIVECROSS GREEN,1,1,09-Aug-2022,17.8,0
AIRE VALLEY ROAD,CROSS GREEN,0,0,71.11,20/02/2024 00:00,PASS,30,Urban,105,CAT2 carriageway,7,AIRE VALLEY ROADCROSS GREEN,1,1,20-Feb-2024,8.3,2.28
AIRE VALLEY WAY,RICHMOND HILL,0,0,71.11,20/02/2024 00:00,PASS,40,Urban,138.9,CAT2 carriageway,7,AIRE VALLEY WAYRICHMOND HILL,1,1,20-Feb-2024,8.3,2.28
AIRE VIEW,YEADON,421364.28,440657.66,64.06,21/05/2021 00:00,FAIL,20,Urban,141,CAT2 carriageway,7,AIRE VIEWYEADON,0,1,21-May-2021,9.7,6.542
AIREDALE DRIVE,GARFORTH,441718.5,432849.31,71.11,02/06/2023 00:00,PASS,20,Urban,132,CAT2 carriageway,7,AIREDALE DRIVEGARFORTH,1,1,02-Jun-2023,11.7,0
AIREDALE DRIVE,HORSFORTH,422889.88,437744.16,71.11,22/02/2024 00:00,PASS,20,Urban,227,CAT2 carriageway,7,AIREDALE DRIVEHORSFORTH,1,1,22-Feb-2024,5.1,11.143
