address1,address2,easting,northing,order_cost,ordered_date,result,speedLimit,urban_rural,length,PRIORITY,TARGET_DAYS_TO_REPAIR,MergedName,ydependent,UrbanRural,Date,temp,precip
BODMIN ROAD,MIDDLETON,429128.18,428094.51,71.11,05/01/2024 00:00,PASS,20,Urban,270,CAT2 carriageway,7,BODMIN ROADMIDDLETON,1,1,05-Jan-2024,4.5,0.762
BODMIN STREET,MIDDLETON,429252.69,427701.38,64.06,09/07/2021 00:00,FAIL,20,Urban,270,CAT2 carriageway,7,BODMIN STREETMIDDLETON,0,1,09-Jul-2021,16,0
BOGGART HILL CRESCENT,SEACROFT,434451.88,436810.28,64.06,22/04/2022 00:00,PASS,20,Urban,332,CAT1 footway,1,BOGGART HILL CRESCENTSEACROFT,1,1,22-Apr-2022,9.2,0
BOGGART HILL DRIVE,SEACROFT,434206.33,436967.51,71.11,07/02/2024 00:00,FAIL,20,Urban,251,CAT3 carriageway,28,BOGGART HILL DRIVESEACROFT,0,1,07-Feb-2024,1.9,0.078
BOGGART HILL GARDENS,SEACROFT,0,0,62.19,07/06/2019 00:00,PASS,20,Urban,242,28 day carriageway,28,BOGGART HILL GARDENSSEACROFT,1,1,07-Jun-2019,10.7,6.455
BOGGART HILL ROAD,SEACROFT,434552.27,436682.64,62.19,09/01/2019 00:00,PASS,20,Urban,231,1 day carriageway,1,BOGGART HILL ROADSEACROFT,1,1,09-Jan-2019,1.6,0.032
BOLSOVER CLOSE,GARFORTH,441860.5,433489.67,71.11,14/06/2023 00:00,PASS,20,Urban,86,CAT3 carriageway,28,BOLSOVER CLOSEGARFORTH,1,1,14-Jun-2023,17,0
BOLTON GRANGE,YEADON,0,0,64.06,11/10/2021 00:00,PASS,20,Urban,73,CAT2 carriageway,7,BOLTON GRANGEYEADON,1,1,11-Oct-2021,10.1,0
BOLTON WAY,BOSTON SPA,442248.82,445239.28,64.06,09/02/2022 00:00,FAIL,30,Urban,109,CAT3 carriageway,28,BOLTON WAYBOSTON SPA,0,1,09-Feb-2022,6.1,3.036
BOND COURT,LEEDS,429893.91,433585.27,64.06,06/08/2019 00:00,PASS,20,Urban,72,1 day carriageway,1,BOND COURTLEEDS,1,1,06-Aug-2019,16.3,0.462
BONDGATE,HAREWOOD,0,0,64.06,24/10/2022 00:00,PASS,30,Urban,124,CAT3 footway,28,BONDGATEHAREWOOD,1,1,24-Oct-2022,11.8,3.37
BONDGATE,OTLEY,420264.6,445360.18,71.11,22/02/2024 00:00,PASS,30,Urban,198,CAT2 carriageway,7,BONDGATEOTLEY,1,1,22-Feb-2024,5.1,11.143
BOOTHROYD DRIVE,MEANWOOD,428762.54,436266.02,71.11,26/04/2023 00:00,PASS,30,Urban,65,CAT1 carriageway,1,BOOTHROYD DRIVEMEANWOOD,1,1,26-Apr-2023,5.8,0
BOROUGHGATE TO COURTHOUSE STREET FOOTPATH,OTLEY,0,0,64.06,17/08/2021 00:00,PASS,20,Urban,60.6,CAT2 carriageway,7,BOROUGHGATE TO COURTHOUSE STREET FOOTPATHOTLEY,1,1,17-Aug-2021,14.4,0.793
BOROUGHGATE,OTLEY,420387,445556.85,71.11,03/04/2023 00:00,PASS,30,Urban,335,CAT3 carriageway,28,BOROUGHGATEOTLEY,1,1,03-Apr-2023,4.4,0
BORROUGH AVENUE,GLEDHOW,431372.72,437609.43,71.11,11/10/2023 00:00,PASS,30,Urban,177,CAT3 carriageway,28,BORROUGH AVENUEGLEDHOW,1,1,11-Oct-2023,12,5.573
BORROUGH VIEW,GLEDHOW,431377.79,437702.19,64.06,16/12/2019 00:00,PASS,30,Urban,36,1 day carriageway,1,BORROUGH VIEWGLEDHOW,1,1,16-Dec-2019,3.4,1.381
BORROWDALE CLOSE,ARMLEY,425596,434862,71.11,17/01/2023 00:00,FAIL,20,Urban,36,CAT3 carriageway,28,BORROWDALE CLOSEARMLEY,0,1,17-Jan-2023,-1.7,0
BORROWDALE CRESCENT,ARMLEY,0,0,71.11,07/06/2023 00:00,FAIL,20,Urban,225,CAT2 carriageway,7,BORROWDALE CRESCENTARMLEY,0,1,07-Jun-2023,10.8,0
BORROWDALE CROFT,YEADON,0,0,64.06,03/02/2020 00:00,PASS,30,Urban,44,1 day carriageway,1,BORROWDALE CROFTYEADON,1,1,03-Feb-2020,5.6,1.609
BORROWDALE TERRACE,SEACROFT,434986.45,435252.18,62.19,12/06/2019 00:00,PASS,30,Urban,84,1 day carriageway,1,BORROWDALE TERRACESEACROFT,1,1,12-Jun-2019,10.1,14.045
BOSTON AVENUE,BRAMLEY,425769.07,435231.77,62.19,07/03/2019 00:00,FAIL,20,Urban,87,1 day carriageway,1,BOSTON AVENUEBRAMLEY,0,1,07-Mar-2019,5,6.44
BOSTON ROAD,CLIFFORD,442887.94,444722.7,71.11,08/01/2024 00:00,FAIL,30,Urban,370,CAT2 carriageway,7,BOSTON ROADCLIFFORD,0,1,08-Jan-2024,1.2,0
BOSTON ROAD,WETHERBY,440653.53,445844.01,71.11,22/02/2024 00:00,PASS,20,Urban,39,CAT2 carriageway,7,BOSTON ROADWETHERBY,1,1,22-Feb-2024,5.1,11.143
BOUNDARY FARM ROAD,MOORTOWN,0,0,71.11,20/11/2023 00:00,PASS,30,Urban,208,CAT2 carriageway,7,BOUNDARY FARM ROADMOORTOWN,1,1,20-Nov-2023,8.7,1.551
BOWCLIFFE ROAD,BRAMHAM,442544,442575.9,62.19,06/02/2019 00:00,PASS,20,Urban,19.8,1 day carriageway,1,BOWCLIFFE ROADBRAMHAM,1,1,06-Feb-2019,5.3,2.494
BOWLING GREEN TERRACE,HOLBECK,429710.73,432368.99,71.11,15/05/2023 00:00,FAIL,30,Urban,116,CAT2 carriageway,7,BOWLING GREEN TERRACEHOLBECK,0,1,15-May-2023,9.2,0.019
BOWLING GREEN VIEW,DRIGHLINGTON,422229.54,428808.46,64.06,27/08/2020 00:00,PASS,30,Urban,11,1 day carriageway,1,BOWLING GREEN VIEWDRIGHLINGTON,1,1,27-Aug-2020,12.1,4.986
BOWMAN LANE,LEEDS,0,0,64.06,22/02/2022 00:00,PASS,30,Urban,80,CAT2 carriageway,7,BOWMAN LANELEEDS,1,1,22-Feb-2022,6.5,4.235
BOWNAS ROAD,BOSTON SPA,0,0,62.19,25/02/2019 00:00,PASS,30,Urban,108,28 day footway,28,BOWNAS ROADBOSTON SPA,1,1,25-Feb-2019,9,0.149
BOWOOD AVENUE,MEANWOOD,429192.05,437330.31,71.11,25/05/2023 00:00,FAIL,20,Urban,248,CAT1 carriageway,1,BOWOOD AVENUEMEANWOOD,0,1,25-May-2023,13.9,0
BOWOOD GROVE,MEANWOOD,0,0,64.06,12/12/2022 00:00,PASS,20,Urban,38,CAT2 carriageway,7,BOWOOD GROVEMEANWOOD,1,1,12-Dec-2022,-3,0
BRACKEN COURT,MOORTOWN,430277.27,438205.87,64.06,29/11/2022 00:00,PASS,30,Urban,62,CAT3 footway,28,BRACKEN COURTMOORTOWN,1,1,29-Nov-2022,2.6,0.425
BRACKEN HILL,MOORTOWN,430248.98,438238.69,71.11,14/02/2024 00:00,FAIL,30,Urban,132,CAT3 carriageway,28,BRACKEN HILLMOORTOWN,0,1,14-Feb-2024,9.7,5.724
BRACKENHURST PLACE,MOORTOWN,0,0,64.06,12/01/2021 00:00,FAIL,30,Urban,9,CAT3 carriageway,28,BRACKENHURST PLACEMOORTOWN,0,1,12-Jan-2021,1.7,5.467
BRACKENWOOD DRIVE,GLEDHOW,0,0,64.06,19/11/2020 00:00,PASS,30,Urban,331,CAT3 carriageway,28,BRACKENWOOD DRIVEGLEDHOW,1,1,19-Nov-2020,4.7,1.728
BRADBURN ROAD,ROBIN HOOD,432439.44,427561.83,64.06,20/09/2022 00:00,FAIL,30,Urban,167,CAT3 footway,28,BRADBURN ROADROBIN HOOD,0,1,20-Sep-2022,13.2,0
BRADFORD ROAD,DRIGHLINGTON,421622.08,429371.92,71.11,16/01/2024 00:00,FAIL,30,Urban,423,CAT3 carriageway,28,BRADFORD ROADDRIGHLINGTON,0,1,16-Jan-2024,-0.2,0.851
BRADFORD ROAD,EAST ARDSLEY,430302.23,425094.3,71.11,25/01/2024 00:00,PASS,20,Urban,65.5,CAT1 carriageway,1,BRADFORD ROADEAST ARDSLEY,1,1,25-Jan-2024,7.5,2.031
BRADFORD ROAD,GILDERSOME,423962.31,428315.23,71.11,29/03/2023 00:00,FAIL,30,Urban,359,CAT3 footway,28,BRADFORD ROADGILDERSOME,0,1,29-Mar-2023,10.3,0.963
BRADFORD ROAD,GUISELEY,0,0,71.11,25/10/2023 00:00,PASS,20,Urban,100.8,CAT2 carriageway,7,BRADFORD ROADGUISELEY,1,1,25-Oct-2023,7.8,0.207
BRADFORD ROAD,MENSTON,417964.13,442826.52,71.11,17/04/2023 00:00,FAIL,30,Urban,99.5,CAT3 carriageway,28,BRADFORD ROADMENSTON,0,1,17-Apr-2023,10,0.221
BRADFORD ROAD,OTLEY,0,0,71.11,06/02/2024 00:00,PASS,30,Urban,38,CAT2 carriageway,7,BRADFORD ROADOTLEY,1,1,06-Feb-2024,7.2,5.111
BRADFORD ROAD,STANNINGLEY,420940.36,434468.65,71.11,16/02/2024 00:00,FAIL,30,Urban,61,CAT3 carriageway,28,BRADFORD ROADSTANNINGLEY,0,1,16-Feb-2024,8.7,0.723
BRADFORD ROAD,TINGLEY,428931.32,425986.85,71.11,22/02/2024 00:00,PASS,30,Urban,292,CAT2 carriageway,7,BRADFORD ROADTINGLEY,1,1,22-Feb-2024,5.1,11.143
BRADSTOCK GARDENS,MORLEY,426144.82,428966.76,64.06,30/11/2022 00:00,PASS,20,Urban,73,CAT3 carriageway,28,BRADSTOCK GARDENSMORLEY,1,1,30-Nov-2022,2.8,0.284
BRAEMAR DRIVE,GARFORTH,441762.08,433437.76,71.11,06/02/2024 00:00,PASS,20,Urban,230,CAT2 carriageway,7,BRAEMAR DRIVEGARFORTH,1,1,06-Feb-2024,7.2,5.111
BRAITHWAITE STREET,HOLBECK,428910.03,432633.4,64.06,30/09/2022 00:00,PASS,30,Urban,173,CAT3 carriageway,28,BRAITHWAITE STREETHOLBECK,1,1,30-Sep-2022,9.9,14.036
BRAMBLE AVENUE,BOSTON SPA,0,0,64.06,11/02/2021 00:00,PASS,30,Urban,186,CAT2 carriageway,7,BRAMBLE AVENUEBOSTON SPA,1,1,11-Feb-2021,-2.4,0
BRAMBLE SQUARE,EAST ARDSLEY,431571.4,425783.13,64.06,14/01/2020 00:00,PASS,30,Urban,20,1 day carriageway,1,BRAMBLE SQUAREEAST ARDSLEY,1,1,14-Jan-2020,5.7,8.614
BRAMBLING MEWS,MORLEY,427221.57,427540.52,71.11,24/04/2023 00:00,FAIL,30,Urban,76,CAT2 carriageway,7,BRAMBLING MEWSMORLEY,0,1,24-Apr-2023,4.9,0.307
BRAMHAM LANE,BARDSEY,438990.23,442899.85,71.11,11/01/2024 00:00,PASS,30,Urban,1701,CAT2 carriageway,7,BRAMHAM LANEBARDSEY,1,1,11-Jan-2024,3.9,0.375
BRAMHAM ROAD,CLIFFORD,442749.91,443598.92,64.06,08/09/2022 00:00,PASS,30,Urban,782,CAT3 footway,28,BRAMHAM ROADCLIFFORD,1,1,08-Sep-2022,14.1,4.043
BRAMHAM ROAD,THORNER,438585.36,440877.07,64.06,08/06/2022 00:00,FAIL,60,Rural,1654,CAT2 footway,7,BRAMHAM ROADTHORNER,0,0,08-Jun-2022,14,10.537
BRAMHOPE OLD LANE,OTLEY,422463.91,443905.31,71.11,19/02/2024 00:00,PASS,30,Rural,485,CAT3 carriageway,28,BRAMHOPE OLD LANEOTLEY,1,0,19-Feb-2024,8.2,0.628
BRAMLEIGH GROVE,MORLEY,0,0,64.06,18/09/2020 00:00,PASS,20,Urban,43,CAT3 footway,28,BRAMLEIGH GROVEMORLEY,1,1,18-Sep-2020,11.3,0
BRAMSTAN AVENUE,BRAMLEY,0,0,64.06,24/10/2022 00:00,PASS,20,Urban,45,CAT3 footway,28,BRAMSTAN AVENUEBRAMLEY,1,1,24-Oct-2022,11.8,3.37
BRAMSTAN CLOSE,BRAMLEY,0,0,64.06,27/10/2022 00:00,PASS,20,Urban,49,CAT3 carriageway,28,BRAMSTAN CLOSEBRAMLEY,1,1,27-Oct-2022,13.2,2.302
BRAMSTAN GARDENS,BRAMLEY,423426.34,435254.09,64.06,09/08/2021 00:00,FAIL,20,Urban,135,CAT2 carriageway,7,BRAMSTAN GARDENSBRAMLEY,0,1,09-Aug-2021,14.6,0.128
BRANCH PLACE,FARNLEY,426332.33,431856.55,64.06,24/05/2022 00:00,PASS,30,Urban,110,CAT1 carriageway,1,BRANCH PLACEFARNLEY,1,1,24-May-2022,10.8,0.532
BRANCH ROAD,ARMLEY,0,0,71.11,17/08/2023 00:00,PASS,30,Urban,148,CAT3 carriageway,28,BRANCH ROADARMLEY,1,1,17-Aug-2023,15.6,0
BRANCH ROAD,FARNLEY,426228.66,431904.1,71.11,26/01/2024 00:00,PASS,20,Urban,213,CAT2 carriageway,7,BRANCH ROADFARNLEY,1,1,26-Jan-2024,6,3.284
BRANCH ROAD,GILDERSOME,425158.99,428999.52,71.11,20/11/2023 00:00,PASS,20,Urban,73,CAT2 carriageway,7,BRANCH ROADGILDERSOME,1,1,20-Nov-2023,8.7,1.551
BRANDER CLOSE,GIPTON,433678,434422,71.11,20/04/2023 00:00,PASS,30,Urban,221,CAT2 carriageway,7,BRANDER CLOSEGIPTON,1,1,20-Apr-2023,7.4,0
BRANDER DRIVE,GIPTON,0,0,64.06,11/10/2022 00:00,PASS,30,Urban,210,CAT2 carriageway,7,BRANDER DRIVEGIPTON,1,1,11-Oct-2022,9.1,0
BRANDER ROAD,GIPTON,433623,434470,71.11,15/12/2023 00:00,PASS,30,Urban,160,CAT3 carriageway,28,BRANDER ROADGIPTON,1,1,15-Dec-2023,6.9,0
BRANDER STREET,GIPTON,433575.16,434639.47,71.11,14/12/2023 00:00,PASS,30,Urban,153,CAT2 carriageway,7,BRANDER STREETGIPTON,1,1,14-Dec-2023,4.4,0.534
BRANDON CRESCENT,SCARCROFT,434837.45,440629.79,71.11,14/12/2023 00:00,FAIL,60,Rural,355,CAT2 carriageway,7,BRANDON CRESCENTSCARCROFT,0,0,14-Dec-2023,4.4,0.534
BRANDON WAY CRESCENT,POTTERNEWTON,431036.81,436008.44,71.11,13/02/2024 00:00,PASS,20,Urban,9,CAT2 footway,7,BRANDON WAY CRESCENTPOTTERNEWTON,1,1,13-Feb-2024,5.7,1.342
BRANKSOME PLACE,HYDE PARK,428361.66,434740.01,64.06,09/11/2022 00:00,PASS,20,Urban,42,CAT3 footway,28,BRANKSOME PLACEHYDE PARK,1,1,09-Nov-2022,9.1,1.712
BRANKSOME TERRACE,HYDE PARK,428342.1,434722.66,64.06,09/11/2022 00:00,PASS,20,Urban,36,CAT3 footway,28,BRANKSOME TERRACEHYDE PARK,1,1,09-Nov-2022,9.1,1.712
BRANSBY CLOSE,FARSLEY,0,0,64.06,19/07/2021 00:00,PASS,20,Urban,71,CAT3 footway,28,BRANSBY CLOSEFARSLEY,1,1,19-Jul-2021,19.8,0
BRANSDALE GARTH,GUISELEY,0,0,64.06,03/10/2022 00:00,PASS,30,Urban,33,CAT2 carriageway,7,BRANSDALE GARTHGUISELEY,1,1,03-Oct-2022,11.9,0
BRANTFORD STREET,CHAPEL ALLERTON,0,0,64.06,09/07/2019 00:00,FAIL,20,Urban,136,1 day carriageway,1,BRANTFORD STREETCHAPEL ALLERTON,0,1,09-Jul-2019,13.9,2.235
BRATHAY GARDENS,SEACROFT,435024.63,435296.16,71.11,06/02/2023 00:00,PASS,30,Urban,88,CAT3 carriageway,28,BRATHAY GARDENSSEACROFT,1,1,06-Feb-2023,2.5,0
BRAYSHAW ROAD,EAST ARDSLEY,430191.23,425031.07,71.11,05/09/2023 00:00,PASS,20,Urban,158,CAT3 footway,28,BRAYSHAW ROADEAST ARDSLEY,1,1,05-Sep-2023,18.3,0
BRAYTON APPROACH,SWARCLIFFE,436467,436325,71.11,21/04/2023 00:00,PASS,20,Urban,240,CAT1 carriageway,1,BRAYTON APPROACHSWARCLIFFE,1,1,21-Apr-2023,7.5,2.402
BRAYTON GARTH,SWARCLIFFE,436575.69,436209.46,71.11,15/02/2024 00:00,PASS,20,Urban,34,CAT2 carriageway,7,BRAYTON GARTHSWARCLIFFE,1,1,15-Feb-2024,12.1,4.184
BRAYTON GREEN,SWARCLIFFE,436580.21,436242.94,64.06,01/10/2020 00:00,PASS,20,Urban,102,CAT3 carriageway,28,BRAYTON GREENSWARCLIFFE,1,1,01-Oct-2020,9,1.037
BRAYTON GROVE,SWARCLIFFE,436419.28,436364.53,64.06,04/04/2022 00:00,PASS,20,Urban,204,CAT3 carriageway,28,BRAYTON GROVESWARCLIFFE,1,1,04-Apr-2022,8.9,1.188
BRAYTON WALK,SWARCLIFFE,436429,436363,71.11,29/01/2024 00:00,PASS,20,Urban,170,CAT3 carriageway,28,BRAYTON WALKSWARCLIFFE,1,1,29-Jan-2024,6.7,25.099
BREARY AVENUE,HORSFORTH,424897.96,438192.96,71.11,07/02/2024 00:00,PASS,30,Urban,127,CAT3 carriageway,28,BREARY AVENUEHORSFORTH,1,1,07-Feb-2024,1.9,0.078
BREARY LANE EAST,BRAMHOPE,425652.63,443104.64,71.11,17/04/2023 00:00,PASS,20,Urban,218,CAT3 carriageway,28,BREARY LANE EASTBRAMHOPE,1,1,17-Apr-2023,10,0.221
BREARY LANE,BRAMHOPE,0,0,71.11,24/05/2023 00:00,PASS,20,Urban,270,CAT2 carriageway,7,BREARY LANEBRAMHOPE,1,1,24-May-2023,13.1,0
BREARY RISE,BRAMHOPE,0,0,71.11,26/04/2023 00:00,PASS,20,Urban,127,CAT1 carriageway,1,BREARY RISEBRAMHOPE,1,1,26-Apr-2023,5.8,0
BREARY TERRACE,HORSFORTH,424868.38,438219.51,71.11,10/02/2023 00:00,PASS,30,Urban,79,CAT3 carriageway,28,BREARY TERRACEHORSFORTH,1,1,10-Feb-2023,6,0
BREARY WALK,HORSFORTH,424916.72,438207.49,71.11,10/02/2023 00:00,PASS,30,Urban,29,CAT3 carriageway,28,BREARY WALKHORSFORTH,1,1,10-Feb-2023,6,0
BRECKS LANE,KIPPAX,439299.68,431697.82,71.11,24/01/2024 00:00,PASS,30,Urban,214,CAT1 carriageway,1,BRECKS LANEKIPPAX,1,1,24-Jan-2024,7.5,0.394
BREMNER STREET,OTLEY,420687.31,445650.91,71.11,17/04/2023 00:00,PASS,20,Urban,101,CAT3 carriageway,28,BREMNER STREETOTLEY,1,1,17-Apr-2023,10,0.221
BRIAN CRESCENT,CROSS GATES,435849.29,435109.28,71.11,12/12/2023 00:00,PASS,30,Urban,339,CAT2 carriageway,7,BRIAN CRESCENTCROSS GATES,1,1,12-Dec-2023,5.8,5.545
BRIAR GATE,WETHERBY,440396.78,449307.25,64.06,29/11/2022 00:00,PASS,30,Urban,95,CAT3 footway,28,BRIAR GATEWETHERBY,1,1,29-Nov-2022,2.6,0.425
BRIARFIELD GARDENS,GILDERSOME,424264.12,428751.75,64.06,23/09/2019 00:00,PASS,20,Urban,121,28 day carriageway,28,BRIARFIELD GARDENSGILDERSOME,1,1,23-Sep-2019,14.4,1.32
BRIARLEA CLOSE,YEADON,419853.46,440370.04,64.06,12/09/2019 00:00,PASS,30,Urban,54,28 day carriageway,28,BRIARLEA CLOSEYEADON,1,1,12-Sep-2019,14.8,0.41
BRIDGE AVENUE,OTLEY,0,0,64.06,06/11/2020 00:00,PASS,20,Urban,152.1,CAT2 carriageway,7,BRIDGE AVENUEOTLEY,1,1,06-Nov-2020,6.3,0.163
BRIDGE CLOSE,BOSTON SPA,443096.43,445658.82,71.11,19/05/2023 00:00,PASS,30,Urban,75,CAT2 carriageway,7,BRIDGE CLOSEBOSTON SPA,1,1,19-May-2023,12,0.376
BRIDGE COURT,HOLBECK,429112.75,432506.08,71.11,07/06/2023 00:00,FAIL,30,Urban,92,CAT2 carriageway,7,BRIDGE COURTHOLBECK,0,1,07-Jun-2023,10.8,0
BRIDGE COURT,MORLEY,426615.97,427050.95,71.11,18/12/2023 00:00,FAIL,30,Urban,68,CAT3 carriageway,28,BRIDGE COURTMORLEY,0,1,18-Dec-2023,10.6,3.691
BRIDGE END,LEEDS,430263.92,433202.61,64.06,20/06/2019 00:00,PASS,30,Urban,129,1 day carriageway,1,BRIDGE ENDLEEDS,1,1,20-Jun-2019,12.2,0.475
BRIDGE FOOT,THORP ARCH,443290.51,445879.19,71.11,15/02/2024 00:00,PASS,20,Urban,161,CAT2 carriageway,7,BRIDGE FOOTTHORP ARCH,1,1,15-Feb-2024,12.1,4.184
BRIDGE FOOT,WETHERBY,440476.07,448048.88,64.06,15/07/2022 00:00,PASS,30,Urban,40,CAT3 footway,28,BRIDGE FOOTWETHERBY,1,1,15-Jul-2022,14.8,0.078
BRIDGE GARTH,CLIFFORD,442889.74,444677.4,71.11,08/03/2023 00:00,PASS,30,Urban,82,CAT2 carriageway,7,BRIDGE GARTHCLIFFORD,1,1,08-Mar-2023,-1.5,0.014
BRIDGE ROAD,BOSTON SPA,443175.92,445732.72,71.11,05/02/2024 00:00,PASS,20,Urban,293,CAT2 carriageway,7,BRIDGE ROADBOSTON SPA,1,1,05-Feb-2024,8.9,0.819
BRIDGE ROAD,HOLBECK,429170.77,432501.23,71.11,16/02/2024 00:00,PASS,30,Urban,270,CAT3 carriageway,28,BRIDGE ROADHOLBECK,1,1,16-Feb-2024,8.7,0.723
BRIDGE ROAD,KIRKSTALL,426228.41,435580.71,71.11,29/12/2023 00:00,PASS,30,Urban,19,CAT2 carriageway,7,BRIDGE ROADKIRKSTALL,1,1,29-Dec-2023,5.5,5.422
BRIDGE STREET,MORLEY,426755.4,426811.54,71.11,04/04/2023 00:00,FAIL,30,Urban,614,CAT2 carriageway,7,BRIDGE STREETMORLEY,0,1,04-Apr-2023,6.2,0
BRIDGE STREET,OTLEY,420200.75,445687.45,71.11,12/02/2024 00:00,PASS,30,Urban,397,CAT3 carriageway,28,BRIDGE STREETOTLEY,1,1,12-Feb-2024,4.6,1.518
BRIDGE STREET,SHEEPSCAR,430640.39,433705.65,71.11,04/05/2023 00:00,FAIL,30,Urban,210,CAT2 carriageway,7,BRIDGE STREETSHEEPSCAR,0,1,04-May-2023,7.9,0.622
BRIDGE VIEW,RODLEY,0,0,64.06,13/07/2020 00:00,PASS,30,Urban,147,1 day carriageway,1,BRIDGE VIEWRODLEY,1,1,13-Jul-2020,14.3,0.346
BRIDGEWATER COURT,MEANWOOD,0,0,64.06,09/07/2021 00:00,PASS,30,Urban,107,CAT2 carriageway,7,BRIDGEWATER COURTMEANWOOD,1,1,09-Jul-2021,16,0
BRIDGEWATER ROAD,CROSS GREEN,431488.69,432462.04,71.11,19/02/2024 00:00,PASS,30,Urban,148,CAT3 carriageway,28,BRIDGEWATER ROADCROSS GREEN,1,1,19-Feb-2024,8.2,0.628
BRIDLE PATH WALK,CROSS GATES,0,0,64.06,29/11/2021 00:00,PASS,30,Urban,6,CAT3 carriageway,28,BRIDLE PATH WALKCROSS GATES,1,1,29-Nov-2021,0.9,2.328
BRIERLANDS LANE,GARFORTH,0,0,64.06,11/05/2021 00:00,FAIL,20,Urban,180,CAT3 footway,28,BRIERLANDS LANEGARFORTH,0,1,11-May-2021,8.6,3.079
BRIGGATE,LEEDS,0,0,64.06,24/09/2020 00:00,FAIL,30,Urban,162,CAT2 carriageway,7,BRIGGATELEEDS,0,1,24-Sep-2020,7.6,7.944
BRIGHT STREET,MORLEY,425937.68,427907.12,71.11,11/04/2023 00:00,PASS,30,Urban,221,CAT2 carriageway,7,BRIGHT STREETMORLEY,1,1,11-Apr-2023,7,8.754
BRIGHTON AVENUE,MORLEY,425963.66,427987.08,62.19,11/06/2019 00:00,PASS,30,Urban,262,1 day carriageway,1,BRIGHTON AVENUEMORLEY,1,1,11-Jun-2019,9.2,3.474
BRIGHTON GROVE,BRAMLEY,0,0,71.11,19/05/2023 00:00,PASS,20,Urban,97,CAT2 carriageway,7,BRIGHTON GROVEBRAMLEY,1,1,19-May-2023,12,0.376
BRIGNALL GARTH,BURMANTOFTS,431838,434197,64.06,08/09/2021 00:00,PASS,30,Urban,160,CAT3 footway,28,BRIGNALL GARTHBURMANTOFTS,1,1,08-Sep-2021,19.9,0
BRIGSHAW DRIVE,ALLERTON BYWATER,440741,428972,71.11,16/01/2024 00:00,PASS,20,Urban,252,CAT3 carriageway,28,BRIGSHAW DRIVEALLERTON BYWATER,1,1,16-Jan-2024,-0.2,0.851
BRIGSHAW LANE,ALLERTON BYWATER,440891.67,429223.7,71.11,24/03/2023 00:00,PASS,20,Urban,178,CAT3 carriageway,28,BRIGSHAW LANEALLERTON BYWATER,1,1,24-Mar-2023,8.3,2.524
BRIGSHAW LANE,KIPPAX,441295.36,429870.33,71.11,24/10/2023 00:00,PASS,30,Urban,300,CAT3 carriageway,28,BRIGSHAW LANEKIPPAX,1,1,24-Oct-2023,9.1,12.203
BRITANNIA GARDENS,PUDSEY,422945.79,433569.43,71.11,21/12/2023 00:00,FAIL,30,Urban,6,CAT3 carriageway,28,BRITANNIA GARDENSPUDSEY,0,1,21-Dec-2023,9,3.174
BRITANNIA ROAD,MORLEY,425639.2,426879.45,71.11,09/02/2024 00:00,PASS,30,Urban,918,CAT2 carriageway,7,BRITANNIA ROADMORLEY,1,1,09-Feb-2024,3.2,21.387
BRITANNIA STREET,LEEDS,429569.01,433460.89,71.11,22/01/2024 00:00,PASS,30,Urban,66,CAT2 carriageway,7,BRITANNIA STREETLEEDS,1,1,22-Jan-2024,6.8,4.788
BROAD LANE CLOSE,BRAMLEY,0,0,71.11,15/09/2023 00:00,PASS,20,Urban,233,CAT3 carriageway,28,BROAD LANE CLOSEBRAMLEY,1,1,15-Sep-2023,14.4,2.7
BROAD LANE,BRAMLEY,423240.91,434942.32,71.11,22/02/2024 00:00,PASS,20,Urban,280,CAT2 carriageway,7,BROAD LANEBRAMLEY,1,1,22-Feb-2024,5.1,11.143
BROADCROFT DRIVE,WEST ARDSLEY,428448.14,425521.24,71.11,17/08/2023 00:00,FAIL,20,Urban,147,CAT3 carriageway,28,BROADCROFT DRIVEWEST ARDSLEY,0,1,17-Aug-2023,15.6,0
BROADCROFT WAY,WEST ARDSLEY,428463.5,425613.64,71.11,17/08/2023 00:00,FAIL,30,Urban,134,CAT3 carriageway,28,BROADCROFT WAYWEST ARDSLEY,0,1,17-Aug-2023,15.6,0
BROADGATE AVENUE,HORSFORTH,424793.08,437987.02,71.11,12/01/2024 00:00,PASS,30,Urban,163,CAT2 carriageway,7,BROADGATE AVENUEHORSFORTH,1,1,12-Jan-2024,2.3,0.091
BROADGATE CRESCENT,HORSFORTH,424362.62,437848.59,71.11,12/01/2024 00:00,PASS,30,Urban,204,CAT2 carriageway,7,BROADGATE CRESCENTHORSFORTH,1,1,12-Jan-2024,2.3,0.091
BROADGATE DRIVE,HORSFORTH,424796.8,438051.16,71.11,22/01/2024 00:00,PASS,30,Urban,195,CAT2 carriageway,7,BROADGATE DRIVEHORSFORTH,1,1,22-Jan-2024,6.8,4.788
BROADGATE LANE,HORSFORTH,424108.31,438256.97,64.06,18/11/2022 00:00,PASS,20,Urban,240,CAT2 carriageway,7,BROADGATE LANEHORSFORTH,1,1,18-Nov-2022,7.9,4.289
BROADGATE RISE,HORSFORTH,0,0,64.06,20/01/2020 00:00,PASS,30,Urban,57,1 day carriageway,1,BROADGATE RISEHORSFORTH,1,1,20-Jan-2020,4.1,0.018
