datetime,temp,precip
2022-04-24,8.2,0
2022-04-25,6.5,0
2022-04-26,7,0.025
2022-04-27,5.7,0
2022-04-28,6.1,0
2022-04-29,7.2,0
2022-04-30,9.2,0.976
2022-05-01,9.6,1.301
2022-05-02,10.3,0.449
2022-05-03,8.9,0.994
2022-05-04,10.7,3.592
2022-05-05,11,0.208
2022-05-06,11.9,2.344
2022-05-07,10.1,0.386
2022-05-08,10.3,0.007
2022-05-09,13.1,0
2022-05-10,13,0.404
2022-05-11,10.8,1.5
2022-05-12,10.4,0.17
2022-05-13,11.9,0.426
2022-05-14,14,0
2022-05-15,12.8,0.539
2022-05-16,12.8,12.074
2022-05-17,15.4,2.969
2022-05-18,14.2,0.814
2022-05-19,12.6,0.458
2022-05-20,11.5,4.795
2022-05-21,12,0.367
2022-05-22,13.9,0.423
2022-05-23,12,0.138
2022-05-24,10.8,0.532
2022-05-25,11.6,1.032
2022-05-26,12.3,1.575
2022-05-27,10.6,0
2022-05-28,10.2,0
2022-05-29,8.9,0.097
2022-05-30,9.2,0.452
2022-05-31,8.9,9.168
2022-06-01,10.7,0.179
2022-06-02,12.8,0
2022-06-03,12.6,7.77
2022-06-04,10.4,0
2022-06-05,9.2,3.204
2022-06-06,11.1,2.558
2022-06-07,12.9,0.09
2022-06-08,14,10.537
2022-06-09,14,0.009
2022-06-10,15.3,0
2022-06-11,14,1.016
2022-06-12,12.7,0
2022-06-13,12.1,0
2022-06-14,13.2,0
2022-06-15,15.3,0
2022-06-16,17,0
2022-06-17,19.3,0
2022-06-18,12.5,0.049
2022-06-19,12.3,0
2022-06-20,13.6,0
2022-06-21,16,0
2022-06-22,16.7,0
2022-06-23,18,0.949
2022-06-24,17.1,3.046
2022-06-25,14.4,1.169
2022-06-26,14.3,0.047
2022-06-27,13.2,1.873
2022-06-28,14.1,0.437
2022-06-29,15,6.988
2022-06-30,14.5,6.951
2022-07-01,13.4,4.098
2022-07-02,14,0.605
2022-07-03,13.4,0.109
2022-07-04,13.3,0.085
2022-07-05,13.7,0.014
2022-07-06,15.2,0.226
2022-07-07,16.2,0.007
2022-07-08,16.7,0
2022-07-09,16.7,0
2022-07-10,18.6,0
2022-07-11,21.2,0
2022-07-12,20.3,0.132
2022-07-13,15.9,0
2022-07-14,14.5,0.053
2022-07-15,14.8,0.078
2022-07-16,16.2,0
2022-07-17,21.5,0.097
2022-07-18,26,0
2022-07-19,27.9,0
2022-07-20,19.5,0
2022-07-21,15.4,1.942
2022-07-22,14.1,2.893
2022-07-23,16.2,0.785
2022-07-24,18.3,5.708
2022-07-25,15.5,4.026
2022-07-26,13,3.138
2022-07-27,15.2,0
2022-07-28,15.1,2.19
2022-07-29,15.8,1.791
2022-07-30,16.8,1.816
2022-07-31,16.8,4.534
2022-08-01,16.1,0.272
2022-08-02,19.3,4.543
2022-08-03,18.2,0.67
2022-08-04,14.8,0
2022-08-05,12.8,1.008
2022-08-06,13.4,0
2022-08-07,15.5,0
2022-08-08,16.9,0
2022-08-09,17.8,0
2022-08-10,20.9,0
2022-08-11,22.1,0
2022-08-12,21.4,0
2022-08-13,20.6,0
2022-08-14,21.4,0
2022-08-15,18.9,0.042
2022-08-16,16.6,1.091
