datetime,temp,conditions,precipitation
2019-07-20,15.9,"Rain, Partially cloudy",0.587
2019-07-21,16.2,Partially cloudy,0.0
2019-07-22,20.0,"Rain, Partially cloudy",2.005
2019-07-23,21.9,Partially cloudy,0.0
2019-07-24,20.9,"Rain, Partially cloudy",4.793
2019-07-25,24.4,Partially cloudy,0.0
2019-07-26,20.6,"Rain, Partially cloudy",0.509
2019-07-27,14.9,"Rain, Overcast",20.942
2019-07-28,15.3,"Rain, Overcast",16.11
2019-07-29,17.0,"Rain, Partially cloudy",8.058
2019-07-30,16.4,"Rain, Partially cloudy",10.7
2019-07-31,16.4,"Rain, Partially cloudy",13.012
2019-08-01,17.0,"Rain, Partially cloudy",0.227
2019-08-02,16.5,"Rain, Partially cloudy",0.44
2019-08-03,17.6,Partially cloudy,0.0
2019-08-04,18.8,"Rain, Partially cloudy",0.371
2019-08-05,16.8,"Rain, Partially cloudy",2.305
2019-08-06,16.3,"Rain, Partially cloudy",0.462
2019-08-07,15.1,"Rain, Partially cloudy",1.836
2019-08-08,16.5,Partially cloudy,0.0
2019-08-09,17.3,"Rain, Partially cloudy",6.458
2019-08-10,16.0,"Rain, Partially cloudy",14.542
2019-08-11,13.7,"Rain, Partially cloudy",0.69
2019-08-12,11.9,"Rain, Partially cloudy",0.537
2019-08-13,12.4,"Rain, Partially cloudy",0.784
2019-08-14,12.8,"Rain, Partially cloudy",2.516
2019-08-15,14.3,"Rain, Partially cloudy",6.84
2019-08-16,14.1,"Rain, Partially cloudy",8.235
2019-08-17,15.1,"Rain, Partially cloudy",0.927
2019-08-18,13.8,"Rain, Partially cloudy",0.169
2019-08-19,13.7,"Rain, Partially cloudy",0.915
2019-08-20,13.0,"Rain, Partially cloudy",1.16
2019-08-21,14.6,"Rain, Partially cloudy",0.652
2019-08-22,15.5,"Rain, Partially cloudy",3.233
2019-08-23,18.4,Partially cloudy,0.0
2019-08-24,19.4,Partially cloudy,0.0
2019-08-25,19.9,Partially cloudy,0.0
2019-08-26,18.6,Partially cloudy,0.0
2019-08-27,19.1,Partially cloudy,0.0
2019-08-28,14.6,"Rain, Partially cloudy",3.107
2019-08-29,13.8,"Rain, Partially cloudy",0.014
2019-08-30,16.4,Partially cloudy,0.0
2019-08-31,14.3,"Rain, Partially cloudy",1.192
2019-09-01,11.5,"Rain, Partially cloudy",0.684
2019-09-02,12.6,"Rain, Partially cloudy",0.94
2019-09-03,15.1,"Rain, Partially cloudy",0.418
2019-09-04,13.1,"Rain, Partially cloudy",3.274
2019-09-05,11.0,"Rain, Partially cloudy",1.775
2019-09-06,12.4,"Rain, Partially cloudy",3.358
2019-09-07,11.1,"Rain, Partially cloudy",0.014
2019-09-08,10.2,Partially cloudy,0.0
2019-09-09,11.0,"Rain, Partially cloudy",2.195
2019-09-10,11.5,"Rain, Partially cloudy",0.541
2019-09-11,14.3,"Rain, Partially cloudy",1.106
2019-09-12,14.8,"Rain, Partially cloudy",0.41
2019-09-13,11.4,"Rain, Partially cloudy",0.078
2019-09-14,12.5,Partially cloudy,0.0
2019-09-15,13.2,"Rain, Partially cloudy",0.372
2019-09-16,11.4,"Rain, Partially cloudy",2.413
2019-09-17,10.5,Partially cloudy,0.0
2019-09-18,10.3,Partially cloudy,0.0
2019-09-19,12.9,Partially cloudy,0.0
2019-09-20,14.4,"Rain, Partially cloudy",0.018
2019-09-21,14.1,"Rain, Partially cloudy",0.012
2019-09-22,13.4,"Rain, Partially cloudy",4.734
2019-09-23,14.4,"Rain, Partially cloudy",1.32
2019-09-24,14.2,"Rain, Partially cloudy",27.066
2019-09-25,14.0,"Rain, Partially cloudy",0.461
2019-09-26,13.9,"Rain, Partially cloudy",12.135
2019-09-27,12.0,"Rain, Partially cloudy",5.859
2019-09-28,12.4,"Rain, Partially cloudy",10.794
2019-09-29,10.9,"Rain, Partially cloudy",35.883
2019-09-30,11.3,"Rain, Partially cloudy",1.934
2019-10-01,8.9,"Rain, Partially cloudy",26.453
2019-10-02,6.8,"Rain, Partially cloudy",0.012
2019-10-03,6.5,"Rain, Partially cloudy",0.007
2019-10-04,10.4,"Rain, Partially cloudy",8.595
2019-10-05,9.9,"Rain, Partially cloudy",0.101
2019-10-06,10.8,"Rain, Partially cloudy",14.366
2019-10-07,10.5,"Rain, Partially cloudy",3.35
2019-10-08,11.0,"Rain, Partially cloudy",0.3
2019-10-09,9.1,"Rain, Partially cloudy",5.848
2019-10-10,10.6,"Rain, Partially cloudy",5.771
2019-10-11,11.6,"Rain, Partially cloudy",10.964
2019-10-12,10.1,"Rain, Partially cloudy",0.743
2019-10-13,9.7,"Rain, Partially cloudy",5.398
2019-10-14,8.9,"Rain, Partially cloudy",1.968
2019-10-15,9.5,"Rain, Overcast",5.597
2019-10-16,9.6,"Rain, Partially cloudy",3.099
2019-10-17,8.7,"Rain, Partially cloudy",0.03
2019-10-18,8.8,"Rain, Partially cloudy",2.212
2019-10-19,8.5,"Rain, Partially cloudy",0.765
2019-10-20,7.6,"Rain, Partially cloudy",0.723
2019-10-21,7.8,"Rain, Partially cloudy",0.482
2019-10-22,7.3,"Rain, Partially cloudy",0.012
2019-10-23,8.8,Partially cloudy,0.0
2019-10-24,9.0,"Rain, Partially cloudy",0.349
2019-10-25,7.0,"Rain, Partially cloudy",21.712
2019-10-26,4.6,"Rain, Partially cloudy",27.696
2019-10-27,6.1,"Rain, Partially cloudy",0.218
2019-10-28,3.7,"Rain, Partially cloudy",0.045
2019-10-29,4.6,"Rain, Partially cloudy",0.103
2019-10-30,5.2,"Rain, Partially cloudy",0.202
2019-10-31,5.4,Partially cloudy,0.0
2019-11-01,9.1,"Rain, Overcast",3.552
2019-11-02,8.2,"Rain, Partially cloudy",7.234
2019-11-03,6.7,"Rain, Partially cloudy",0.81
2019-11-04,7.2,"Rain, Partially cloudy",4.127
2019-11-05,7.1,"Rain, Partially cloudy",2.867
2019-11-06,3.5,"Rain, Partially cloudy",0.576
2019-11-07,5.8,"Rain, Partially cloudy",20.776
2019-11-08,4.3,"Rain, Partially cloudy",17.997
2019-11-09,2.2,"Snow, Rain, Partially cloudy",0.475
2019-11-10,3.4,"Rain, Partially cloudy",0.506
2019-11-11,4.8,"Rain, Partially cloudy",4.852
2019-11-12,5.3,"Rain, Partially cloudy",7.236
2019-11-13,3.0,"Rain, Partially cloudy",0.092
2019-11-14,4.0,"Rain, Partially cloudy",1.364
2019-11-15,5.6,"Rain, Partially cloudy",9.775
2019-11-16,6.7,"Rain, Partially cloudy",2.255
2019-11-17,5.9,"Rain, Partially cloudy",8.924
2019-11-18,2.6,"Rain, Partially cloudy",0.035
2019-11-19,0.8,"Rain, Partially cloudy",0.025
2019-11-20,2.9,Partially cloudy,0.0
2019-11-21,2.8,Partially cloudy,0.0
2019-11-22,5.4,"Rain, Overcast",3.842
2019-11-23,7.2,"Rain, Overcast",5.012
2019-11-24,7.2,"Rain, Overcast",2.449
2019-11-25,8.1,"Rain, Overcast",3.296
2019-11-26,8.3,"Rain, Partially cloudy",2.467
2019-11-27,7.1,"Rain, Overcast",4.682
2019-11-28,5.8,"Rain, Partially cloudy",9.416
2019-11-29,1.7,"Snow, Rain, Partially cloudy",0.034
2019-11-30,0.3,"Snow, Rain, Partially cloudy",0.143
2019-12-01,0.8,"Snow, Rain, Partially cloudy",0.085
2019-12-02,3.2,"Rain, Partially cloudy",0.018
2019-12-03,4.8,"Rain, Partially cloudy",0.007
2019-12-04,4.6,Partially cloudy,0.0
2019-12-05,6.8,"Rain, Partially cloudy",0.345
2019-12-06,9.4,"Rain, Partially cloudy",2.519
2019-12-07,7.9,"Rain, Partially cloudy",0.183
2019-12-08,6.5,"Rain, Partially cloudy",7.029
2019-12-09,4.0,"Rain, Partially cloudy",2.69
2019-12-10,6.1,"Rain, Partially cloudy",6.769
2019-12-11,3.4,"Rain, Partially cloudy",2.436
2019-12-12,2.8,"Snow, Rain, Partially cloudy",5.684
2019-12-13,4.7,"Rain, Partially cloudy",2.776
2019-12-14,2.9,"Rain, Partially cloudy",8.901
2019-12-15,2.7,"Rain, Partially cloudy",7.546
2019-12-16,3.4,"Rain, Partially cloudy",1.381
2019-12-17,2.0,"Rain, Partially cloudy",0.121
2019-12-18,2.4,"Snow, Rain, Partially cloudy",0.208
2019-12-19,9.3,"Rain, Partially cloudy",9.847
2019-12-20,6.2,"Rain, Partially cloudy",1.096
2019-12-21,4.6,"Rain, Partially cloudy",0.307
2019-12-22,5.3,"Rain, Partially cloudy",0.862
2019-12-23,5.9,"Rain, Partially cloudy",1.076
2019-12-24,5.4,"Rain, Partially cloudy",1.658
2019-12-25,4.7,"Rain, Partially cloudy",0.218
2019-12-26,4.0,"Rain, Overcast",0.549
2019-12-27,5.7,"Rain, Overcast",0.571
2019-12-28,7.8,Partially cloudy,0.0
2019-12-29,7.6,Partially cloudy,0.0
2019-12-30,7.0,Partially cloudy,0.0
2019-12-31,3.0,"Snow, Rain, Partially cloudy",0.104
2020-01-01,4.1,"Rain, Partially cloudy",0.104
2020-01-02,6.9,Partially cloudy,0.0
2020-01-03,5.8,"Rain, Partially cloudy",0.628
2020-01-04,6.2,"Rain, Partially cloudy",0.312
2020-01-05,7.0,"Rain, Partially cloudy",0.092
2020-01-06,6.8,"Rain, Partially cloudy",0.405
2020-01-07,8.8,"Rain, Partially cloudy",0.014
2020-01-08,7.3,"Rain, Partially cloudy",0.085
2020-01-09,4.3,"Rain, Partially cloudy",7.803
2020-01-10,3.7,"Rain, Partially cloudy",0.014
2020-01-11,8.5,"Rain, Partially cloudy",2.434
2020-01-12,5.5,"Rain, Partially cloudy",8.816
2020-01-13,5.0,"Rain, Partially cloudy",2.098
2020-01-14,5.7,"Rain, Partially cloudy",8.614
2020-01-15,5.1,"Rain, Partially cloudy",0.952
2020-01-16,6.9,"Rain, Partially cloudy",0.615
2020-01-17,4.9,"Rain, Partially cloudy",3.106
2020-01-18,3.0,"Rain, Partially cloudy",1.619
2020-01-19,2.3,"Rain, Partially cloudy",0.007
2020-01-20,4.1,"Rain, Partially cloudy",0.018
2020-01-21,4.9,"Rain, Partially cloudy",0.007
2020-01-22,6.9,"Rain, Partially cloudy",0.04
2020-01-23,5.9,"Rain, Overcast",0.116
2020-01-24,5.6,"Rain, Partially cloudy",0.014
2020-01-25,5.0,"Rain, Overcast",0.021
